policy,left_arm,right_arm,rewards
UCB,0.5,0.1,46.8
ThompsonSampling,0.5,0.1,46.4
Greedy,0.5,0.2,50.4
EpsilonGreedy,0.5,0.2,52.8
UCB,0.5,0.2,50.2
ThompsonSampling,0.5,0.2,45.0
Greedy,0.5,0.3,49.2
EpsilonGreedy,0.5,0.3,53.8
UCB,0.5,0.3,49.6
ThompsonSampling,0.5,0.3,46.6
Greedy,0.5,0.4,50.2
EpsilonGreedy,0.5,0.4,53.6
UCB,0.5,0.4,49.8
ThompsonSampling,0.5,0.4,49.2
Greedy,0.5,0.5,47.8
EpsilonGreedy,0.5,0.5,46.6
UCB,0.5,0.5,55.6
ThompsonSampling,0.5,0.5,52.6
Greedy,0.5,0.6,48.2
EpsilonGreedy,0.5,0.6,51.6
UCB,0.5,0.6,60.0
ThompsonSampling,0.5,0.6,57.8
Greedy,0.5,0.7,44.0
EpsilonGreedy,0.5,0.7,66.0
UCB,0.5,0.7,71.4
ThompsonSampling,0.5,0.7,67.8
Greedy,0.5,0.8,50.4
EpsilonGreedy,0.5,0.8,75.0
UCB,0.5,0.8,76.6
ThompsonSampling,0.5,0.8,74.0
Greedy,0.5,0.9,50.6
EpsilonGreedy,0.5,0.9,88.2
UCB,0.5,0.9,91.0
ThompsonSampling,0.5,0.9,89.8
Greedy,0.6,0.1,59.8
EpsilonGreedy,0.6,0.1,62.0
UCB,0.6,0.1,57.8
ThompsonSampling,0.6,0.1,54.8
Greedy,0.6,0.2,57.8
EpsilonGreedy,0.6,0.2,58.2
UCB,0.6,0.2,61.8
ThompsonSampling,0.6,0.2,61.0
Greedy,0.6,0.3,60.2
EpsilonGreedy,0.6,0.3,56.8
UCB,0.6,0.3,57.2
ThompsonSampling,0.6,0.3,60.8
Greedy,0.6,0.4,59.6
EpsilonGreedy,0.6,0.4,60.0
UCB,0.6,0.4,57.4
ThompsonSampling,0.6,0.4,60.6
Greedy,0.6,0.5,58.8
EpsilonGreedy,0.6,0.5,58.0
UCB,0.6,0.5,58.6
ThompsonSampling,0.6,0.5,58.6
Greedy,0.6,0.6,61.4
EpsilonGreedy,0.6,0.6,59.0
UCB,0.6,0.6,61.8
ThompsonSampling,0.6,0.6,58.0
Greedy,0.6,0.7,61.0
EpsilonGreedy,0.6,0.7,67.8
UCB,0.6,0.7,68.0
ThompsonSampling,0.6,0.7,69.8
Greedy,0.6,0.8,62.8
EpsilonGreedy,0.6,0.8,75.8
UCB,0.6,0.8,80.2
ThompsonSampling,0.6,0.8,79.6
Greedy,0.6,0.9,56.8
EpsilonGreedy,0.6,0.9,87.2
UCB,0.6,0.9,87.8
ThompsonSampling,0.6,0.9,85.8
Greedy,0.7,0.1,68.6
EpsilonGreedy,0.7,0.1,67.8
UCB,0.7,0.1,70.0
ThompsonSampling,0.7,0.1,72.2
Greedy,0.7,0.2,74.8
EpsilonGreedy,0.7,0.2,66.0
UCB,0.7,0.2,68.8
ThompsonSampling,0.7,0.2,64.8
Greedy,0.7,0.3,71.2
EpsilonGreedy,0.7,0.3,66.0
UCB,0.7,0.3,72.4
ThompsonSampling,0.7,0.3,67.2
Greedy,0.7,0.4,72.2
EpsilonGreedy,0.7,0.4,66.6
UCB,0.7,0.4,69.2
ThompsonSampling,0.7,0.4,70.2
Greedy,0.7,0.5,75.0
EpsilonGreedy,0.7,0.5,70.0
UCB,0.7,0.5,64.0
ThompsonSampling,0.7,0.5,69.8
Greedy,0.7,0.6,66.6
EpsilonGreedy,0.7,0.6,72.0
UCB,0.7,0.6,66.4
ThompsonSampling,0.7,0.6,71.4
Greedy,0.7,0.7,69.2
EpsilonGreedy,0.7,0.7,69.0
UCB,0.7,0.7,70.4
ThompsonSampling,0.7,0.7,68.6
Greedy,0.7,0.8,67.8
EpsilonGreedy,0.7,0.8,77.0
UCB,0.7,0.8,79.8
ThompsonSampling,0.7,0.8,80.0
Greedy,0.7,0.9,71.8
EpsilonGreedy,0.7,0.9,88.4
UCB,0.7,0.9,87.2
ThompsonSampling,0.7,0.9,88.4
Greedy,0.8,0.1,79.4
EpsilonGreedy,0.8,0.1,77.2
UCB,0.8,0.1,79.0
ThompsonSampling,0.8,0.1,78.6
Greedy,0.8,0.2,78.2
EpsilonGreedy,0.8,0.2,78.6
UCB,0.8,0.2,77.0
ThompsonSampling,0.8,0.2,82.0
Greedy,0.8,0.3,80.8
EpsilonGreedy,0.8,0.3,78.8
UCB,0.8,0.3,80.4
ThompsonSampling,0.8,0.3,82.4
Greedy,0.8,0.4,80.6
EpsilonGreedy,0.8,0.4,78.4
UCB,0.8,0.4,80.2
ThompsonSampling,0.8,0.4,76.6
Greedy,0.8,0.5,79.6
EpsilonGreedy,0.8,0.5,77.6
UCB,0.8,0.5,77.2
ThompsonSampling,0.8,0.5,76.8
Greedy,0.8,0.6,79.0
EpsilonGreedy,0.8,0.6,76.8
UCB,0.8,0.6,76.6
ThompsonSampling,0.8,0.6,77.8
Greedy,0.8,0.7,80.6
EpsilonGreedy,0.8,0.7,79.4
UCB,0.8,0.7,78.6
ThompsonSampling,0.8,0.7,77.8
Greedy,0.8,0.8,81.0
EpsilonGreedy,0.8,0.8,77.6
UCB,0.8,0.8,81.0
ThompsonSampling,0.8,0.8,80.2
Greedy,0.8,0.9,79.0
EpsilonGreedy,0.8,0.9,79.6
UCB,0.8,0.9,87.4
ThompsonSampling,0.8,0.9,89.0
Greedy,0.9,0.1,90.2
EpsilonGreedy,0.9,0.1,87.8
UCB,0.9,0.1,88.0
ThompsonSampling,0.9,0.1,89.0
Greedy,0.9,0.2,90.4
EpsilonGreedy,0.9,0.2,85.8
UCB,0.9,0.2,89.8
ThompsonSampling,0.9,0.2,89.4
Greedy,0.9,0.3,90.8
EpsilonGreedy,0.9,0.3,85.2
UCB,0.9,0.3,90.2
ThompsonSampling,0.9,0.3,88.2
Greedy,0.9,0.4,90.2
EpsilonGreedy,0.9,0.4,87.4
UCB,0.9,0.4,88.8
ThompsonSampling,0.9,0.4,90.2
Greedy,0.9,0.5,89.6
EpsilonGreedy,0.9,0.5,88.4
UCB,0.9,0.5,90.8
ThompsonSampling,0.9,0.5,86.4
Greedy,0.9,0.6,91.2
EpsilonGreedy,0.9,0.6,88.0
UCB,0.9,0.6,87.8
ThompsonSampling,0.9,0.6,88.2
Greedy,0.9,0.7,90.2
EpsilonGreedy,0.9,0.7,90.2
UCB,0.9,0.7,87.8
ThompsonSampling,0.9,0.7,84.8
Greedy,0.9,0.8,89.4
EpsilonGreedy,0.9,0.8,87.8
UCB,0.9,0.8,89.0
ThompsonSampling,0.9,0.8,90.0
Greedy,0.9,0.9,89.2
EpsilonGreedy,0.9,0.9,89.2
UCB,0.9,0.9,87.2
ThompsonSampling,0.9,0.9,91.6
