Ace,Value,Dealer,Hit,Stay
1,2,7,-0.221,-0.734
1,2,8,-0.355,-0.81
1,2,9,-0.313,-0.756
1,2,10,-0.33,-0.789
1,2,11,-0.222,-0.731
1,3,2,-0.132,-0.501
1,3,3,-0.199,-0.47
1,3,4,-0.125,-0.496
1,3,5,-0.192,-0.222
1,3,6,-0.144,-0.449
1,3,7,-0.254,-0.861
1,3,8,-0.224,-0.775
1,3,9,-0.335,-0.718
1,3,10,-0.338,-0.806
1,3,11,-0.211,-0.622
1,4,2,-0.191,-0.553
1,4,3,-0.194,-0.436
1,4,4,-0.163,-0.35
1,4,5,-0.105,-0.431
1,4,6,-0.161,-0.391
1,4,7,-0.247,-0.77
1,4,8,-0.226,-0.842
1,4,9,-0.289,-0.716
1,4,10,-0.319,-0.806
1,4,11,-0.351,-0.551
1,5,2,-0.247,-0.544
1,5,3,-0.304,-0.425
1,5,4,-0.217,-0.314
1,5,5,-0.206,-0.33
1,5,6,-0.151,-0.32
1,5,7,-0.326,-0.662
1,5,8,-0.343,-0.703
1,5,9,-0.335,-0.758
1,5,10,-0.379,-0.812
1,5,11,-0.354,-0.522
1,6,2,-0.275,-0.355
1,6,3,-0.189,-0.219
1,6,4,-0.188,-0.121
1,6,5,-0.143,-0.137
1,6,6,-0.108,-0.294
1,6,7,-0.145,-0.022
1,6,8,-0.313,-0.556
1,6,9,-0.26,-0.536
1,6,10,-0.346,-0.591
1,6,11,-0.344,-0.325
1,7,2,-0.207,-0.143
1,7,3,-0.242,0.053
1,7,4,-0.183,-0.013
1,7,5,-0.163,-0.012
1,7,6,-0.148,-0.05
1,7,7,-0.168,0.062
1,7,8,-0.197,0.154
1,7,9,-0.326,-0.403
1,7,10,-0.358,-0.343
1,7,11,-0.33,-0.082
1,8,2,-0.27,0.182
1,8,3,-0.188,0.154
1,8,4,-0.156,0.09
1,8,5,-0.153,0.194
1,8,6,-0.107,0.175
1,8,7,-0.224,0.224
1,8,8,-0.256,0.288
1,8,9,-0.217,0.346
1,8,10,-0.353,-0.148
1,8,11,-0.221,0.096
