Ace,Value,Dealer,Hit,Stay
1,2,10,-0.024,-0.5
1,2,11,0.023,-0.061
1,3,2,-0.025,-0.566
1,3,3,-0.345,-0.114
1,3,4,0.102,-0.072
1,3,5,-0.212,0.015
1,3,6,0.055,-0.098
1,3,7,0.004,-0.496
1,3,8,0.003,-0.398
1,3,9,0.015,0.0
1,3,10,-0.057,-0.306
1,3,11,-0.003,-0.484
1,4,2,-0.022,-0.094
1,4,3,0.09,-0.6
1,4,4,0.108,0.0
1,4,5,0.092,-0.048
1,4,6,0.012,-0.091
1,4,7,0.011,-0.572
1,4,8,-0.035,-0.164
1,4,9,-0.006,-0.452
1,4,10,-0.073,-0.106
1,4,11,-0.026,-0.604
1,5,2,-0.02,-0.75
1,5,3,-0.541,-0.086
1,5,4,0.08,-0.556
1,5,5,0.067,-0.387
1,5,6,0.047,-0.29
1,5,7,-0.186,-0.174
1,5,8,-0.028,-0.309
1,5,9,-0.007,-0.178
1,5,10,-0.114,-0.461
1,5,11,-0.033,-0.411
1,6,2,-0.008,-0.5
1,6,3,0.073,0.0
1,6,4,0.077,-0.011
1,6,5,0.105,0.0
1,6,6,-0.112,0.044
1,6,7,0.046,-0.542
1,6,8,0.006,-0.558
1,6,9,-0.005,-0.14
1,6,10,-0.062,-0.15
1,6,11,-0.083,-0.297
1,7,2,0.027,0.0
1,7,3,-0.033,-0.611
1,7,4,0.0,0.102
1,7,5,0.0,0.127
1,7,6,0.098,-0.312
1,7,7,0.093,-0.539
1,7,8,0.038,-0.514
1,7,9,-0.005,-0.205
1,7,10,-0.075,-0.147
1,7,11,0.02,-0.5
1,8,2,0.039,-0.5
1,8,3,0.0,0.209
1,8,4,0.15,0.0
1,8,5,0.164,-0.405
1,8,6,0.11,-0.68
1,8,7,0.0,0.289
1,8,8,0.0,0.297
1,8,9,0.018,0.0
1,8,10,-0.096,0.007
1,8,11,-0.062,0.207
1,9,2,0.091,0.0
1,9,3,0.0,0.336
1,9,4,0.125,0.0
1,9,5,0.0,0.305
1,9,6,0.0,0.34
1,9,7,0.0,0.328
1,9,8,0.0,0.353
1,9,9,0.0,0.348
1,9,10,0.012,0.0
1,9,11,0.081,0.0
1,11,2,-0.75,-0.132
1,11,3,-0.213,-0.679
1,11,4,-0.376,-0.046
1,11,5,-0.461,-0.027
1,11,6,-0.62,-0.054
1,11,7,-0.168,-0.537
1,11,8,-0.225,-0.595
1,11,9,-0.218,-0.497
1,11,10,-0.239,-0.75
1,11,11,-0.314,-0.153
1,12,2,-0.261,-0.393
1,12,3,-0.287,-0.09
1,12,4,-0.253,-0.054
1,12,5,-0.417,-0.043
1,12,6,-0.056,-0.017
1,12,7,-0.205,-0.189
1,12,8,-0.5,-0.252
1,12,9,-0.256,-0.435
1,12,10,-0.251,-0.667
1,12,11,-0.666,-0.17
1,13,2,-0.247,-0.534
1,13,3,-0.281,-0.543
1,13,4,-0.281,0.015
1,13,5,-0.196,-0.442
1,13,6,-0.256,-0.536
1,13,7,-0.256,-0.327
1,13,8,-0.248,-0.5
1,13,9,-0.256,-0.282
1,13,10,-0.37,-0.258
1,13,11,-0.515,-0.22
1,14,2,-0.25,-0.623
1,14,3,-0.188,-0.046
1,14,4,-0.412,-0.019
1,14,5,-0.667,-0.062
1,14,6,-0.307,-0.523
1,14,7,-0.251,-0.5
1,14,8,-0.297,-0.444
1,14,9,-0.295,-0.479
1,14,10,-0.36,-0.26
1,14,11,-0.333,-0.172
1,15,2,-0.47,-0.106
1,15,3,-0.267,-0.078
1,15,4,-0.5,-0.088
1,15,5,-0.211,-0.005
1,15,6,-0.581,-0.017
1,15,7,-0.35,-0.24
1,15,8,-0.579,-0.224
1,15,9,-0.662,-0.208
1,15,10,-0.327,-0.375
1,15,11,-0.602,-0.171
1,16,2,-0.604,-0.045
1,16,3,-0.596,-0.046
1,16,4,-0.75,-0.042
1,16,5,-0.582,-0.001
1,16,6,-0.326,-0.59
1,16,7,-0.271,-0.03
1,16,8,-0.5,-0.24
1,16,9,-0.52,-0.157
1,16,10,-0.75,-0.192
1,16,11,-0.338,-0.5
1,17,2,-0.667,0.081
1,17,3,-0.347,-0.5
1,17,4,-0.551,0.093
1,17,5,-0.647,-0.044
1,17,6,-0.346,0.116
1,17,7,-0.641,0.132
1,17,8,0.0,0.047
1,17,9,-0.517,-0.106
1,17,10,-0.207,-0.125
1,17,11,-0.381,0.017
1,18,2,0.0,0.199
1,18,3,0.0,0.181
1,18,4,-0.6,0.235
1,18,5,-0.358,0.236
1,18,6,-0.5,0.205
1,18,7,-0.658,0.292
1,18,8,-0.525,0.272
1,18,9,-0.298,0.144
