Ace,Value,Dealer,Hit,Stay
1,2,6,-0.228,-0.483
1,2,7,-0.275,-0.747
1,2,8,-0.375,-0.784
1,2,9,-0.386,-0.713
1,2,10,-0.405,-0.887
1,2,11,-0.269,-0.828
1,3,2,-0.302,-0.607
1,3,3,-0.165,-0.747
1,3,4,-0.214,-0.449
1,3,5,-0.177,-0.53
1,3,6,-0.16,-0.34
1,3,7,-0.179,-0.627
1,3,8,-0.376,-0.868
1,3,9,-0.278,-0.836
1,3,10,-0.389,-0.823
1,3,11,-0.271,-0.877
1,4,2,-0.287,-0.567
1,4,3,-0.188,-0.554
1,4,4,-0.3,-0.507
1,4,5,-0.145,-0.331
1,4,6,-0.263,-0.493
1,4,7,-0.229,-0.653
1,4,8,-0.312,-0.851
1,4,9,-0.348,-0.776
1,4,10,-0.421,-0.849
1,4,11,-0.3,-0.696
1,5,2,-0.224,-0.514
1,5,3,-0.241,-0.448
1,5,4,-0.281,-0.43
1,5,5,-0.171,-0.423
1,5,6,-0.302,-0.375
1,5,7,-0.254,-0.705
1,5,8,-0.402,-0.638
1,5,9,-0.431,-0.988
1,5,10,-0.442,-0.749
1,5,11,-0.27,-0.744
1,6,2,-0.297,-0.498
1,6,3,-0.275,-0.345
1,6,4,-0.252,-0.387
1,6,5,-0.172,-0.372
1,6,6,-0.247,-0.42
1,6,7,-0.157,-0.368
1,6,8,-0.366,-0.799
1,6,9,-0.419,-0.743
1,6,10,-0.388,-0.828
1,6,11,-0.195,-0.473
1,7,2,-0.276,-0.216
1,7,3,-0.29,-0.185
1,7,4,-0.276,-0.053
1,7,5,-0.142,-0.293
1,7,6,-0.22,-0.124
1,7,7,-0.285,-0.004
1,7,8,-0.311,-0.225
1,7,9,-0.395,-0.444
1,7,10,-0.443,-0.534
1,7,11,-0.303,-0.298
1,8,2,-0.291,-0.002
1,8,3,-0.3,0.069
1,8,4,-0.324,-0.063
1,8,5,-0.213,-0.091
1,8,6,-0.28,0.029
1,8,7,-0.187,0.151
1,8,8,-0.393,0.074
1,8,9,-0.415,0.049
1,8,10,-0.373,-0.359
1,8,11,-0.274,0.061
1,9,2,-0.29,0.137
1,9,3,-0.263,0.209
1,9,4,-0.276,0.153
1,9,5,-0.172,0.286
1,9,6,-0.252,0.263
1,9,7,-0.268,0.259
1,9,8,-0.321,0.35
1,9,9,-0.324,0.324
1,9,10,-0.405,0.118
1,9,11,-0.364,0.345
1,11,2,-0.475,-0.691
1,11,3,-0.467,-0.565
1,11,4,-0.464,-0.463
1,11,5,-0.441,-0.257
1,11,6,-0.522,-0.295
1,11,7,-0.299,-1.005
1,11,8,-0.52,-0.526
1,11,9,-0.536,-0.93
1,11,10,-0.528,-0.755
1,11,11,-0.344,-0.657
1,12,2,-0.481,-0.669
1,12,3,-0.483,-0.575
1,12,4,-0.498,-0.565
1,12,5,-0.418,-0.151
1,12,6,-0.524,-0.439
1,12,7,-0.52,-0.898
1,12,8,-0.572,-0.789
1,12,9,-0.516,-0.872
1,12,10,-0.525,-0.934
1,12,11,-0.492,-0.609
1,13,2,-0.486,-0.666
1,13,3,-0.445,-0.204
1,13,4,-0.509,-0.324
1,13,5,-0.476,-0.361
1,13,6,-0.408,-0.405
1,13,7,-0.483,-0.568
1,13,8,-0.534,-0.817
1,13,9,-0.447,-0.859
1,13,10,-0.533,-0.857
1,13,11,-0.661,-0.597
1,14,2,-0.475,-0.374
1,14,3,-0.546,-0.547
1,14,4,-0.526,-0.452
1,14,5,-0.548,-0.182
1,14,6,-0.467,-0.656
1,14,7,-0.521,-0.639
1,14,8,-0.457,-0.818
1,14,9,-0.537,-0.785
1,14,10,-0.562,-0.94
1,14,11,-0.515,-0.684
1,15,2,-0.489,-0.31
1,15,3,-0.618,-0.508
1,15,4,-0.561,-0.518
1,15,5,-0.489,-0.316
1,15,6,-0.593,-0.453
1,15,7,-0.565,-0.713
1,15,8,-0.548,-0.939
1,15,9,-0.534,-0.934
1,15,10,-0.567,-0.855
1,15,11,-0.639,-0.556
1,16,2,-0.577,-0.463
1,16,3,-0.596,-0.476
1,16,4,-0.589,-0.451
1,16,5,-0.566,-0.407
1,16,6,-0.588,-0.315
1,16,7,-0.57,-0.303
1,16,8,-0.478,-0.717
1,16,9,-0.639,-0.928
1,16,10,-0.552,-0.68
1,16,11,-0.572,-0.393
1,17,2,-0.583,-0.175
1,17,3,-0.585,-0.177
1,17,4,-0.634,-0.136
1,17,5,-0.549,-0.056
1,17,6,-0.548,-0.118
1,17,7,-0.607,0.089
1,17,8,-0.633,-0.169
1,17,9,-0.646,-0.276
1,17,10,-0.59,-0.652
1,17,11,-0.602,-0.412
1,18,2,-0.627,0.011
1,18,3,-0.615,-0.045
1,18,4,-0.603,-0.12
1,18,5,-0.608,-0.031
1,18,6,-0.634,-0.124
1,18,7,-0.612,0.11
1,18,8,-0.628,0.08
1,18,9,-0.557,-0.091
1,18,10,-0.609,-0.332
1,18,11,-0.571,0.059
1,19,2,-0.661,0.085
1,19,3,-0.659,0.159
1,19,4,-0.629,0.181
1,19,5,-0.629,0.341
1,19,6,-0.643,0.222
1,19,7,-0.63,0.262
1,19,8,-0.599,0.32
1,19,9,-0.618,0.356
1,19,10,-0.644,0.154
1,19,11,-0.651,0.145
2,0,2,-0.224,-0.586
2,0,3,-0.167,-0.615
2,0,4,-0.14,-0.594
2,0,5,-0.05,-0.509
2,0,6,-0.229,-0.38
2,0,7,0.027,-0.874
2,0,8,-0.388,-0.825
2,0,9,-0.236,-0.659
2,0,10,-0.262,-0.76
2,0,11,-0.202,-0.571
2,2,2,-0.115,0.043
2,2,3,0.164,-0.792
2,2,4,-0.2,-0.709
2,2,5,0.133,-0.585
2,2,6,-0.181,-0.542
2,2,7,-0.341,0.155
2,2,8,-0.239,-0.765
2,2,9,-0.063,-0.601
2,2,10,-0.321,-0.806
2,2,11,-0.333,-0.597
2,3,2,-0.525,-0.827
2,3,3,-0.077,-1.032
2,3,4,-0.27,-0.764
2,3,5,-0.074,-1.034
2,3,6,-0.101,-0.39
2,3,7,-0.013,-0.493
2,3,8,-0.406,-1.111
2,3,9,-0.196,-0.342
2,3,10,-0.314,-0.726
2,3,11,0.0,-1.172
2,4,2,-0.187,0.036
2,4,3,-0.385,-0.3
2,4,4,-0.25,-1.138
2,4,5,-0.327,-0.541
2,4,6,-0.095,0.089
2,4,7,-0.154,-0.908
2,4,8,-0.446,-0.691
2,4,9,-0.981,-0.863
2,4,10,-0.434,-0.706
2,4,11,0.0,0.036
2,5,2,-0.29,-0.718
2,5,3,-0.224,-0.149
2,5,4,-0.216,0.128
2,5,5,-0.205,0.027
2,5,6,-0.226,-0.499
2,5,7,-0.121,-0.36
2,5,8,-0.224,-0.822
2,5,9,-0.406,-0.561
2,5,10,-0.395,-0.888
2,5,11,-0.261,-0.461
2,6,2,-0.12,0.231
2,6,3,-0.204,-0.378
2,6,4,-0.397,0.012
2,6,5,-0.001,0.046
2,6,6,-0.577,-0.517
2,6,7,-0.081,0.388
2,6,8,0.04,-0.101
2,6,9,-0.466,-0.301
2,6,10,-0.31,-0.333
2,6,11,0.0,0.625
2,7,2,-0.361,-0.019
2,7,3,-0.003,0.048
2,7,4,-0.172,-0.483
2,7,5,-0.061,0.244
2,7,6,-0.15,0.095
2,7,7,-0.263,-0.02
2,7,8,-0.379,0.069
2,7,9,-0.12,-0.329
2,7,10,-0.364,-0.352
2,7,11,0.0,0.22
2,8,2,0.381,0.397
2,8,3,-0.444,-0.201
2,8,4,-0.125,-0.306
2,8,5,-0.204,0.362
2,8,6,-0.404,0.018
2,8,7,-0.162,0.369
2,8,8,-0.36,0.282
2,8,9,-0.3,0.399
2,8,10,-0.38,0.097
2,8,11,-0.06,0.475
2,10,2,-0.806,-0.923
2,10,3,-0.334,-1.055
2,10,4,-0.464,-0.143
2,10,5,-0.603,-0.265
2,10,6,-0.507,-0.608
2,10,7,-0.095,-0.203
2,10,8,-0.496,-0.914
2,10,9,-0.536,-0.6
2,10,10,-0.298,-1.03
2,10,11,-0.804,-0.45
2,11,2,-0.883,-0.695
2,11,3,-0.444,0.378
2,11,4,-0.222,-0.932
2,11,5,-0.308,0.044
2,11,6,-0.65,-0.315
2,11,7,-0.364,-0.714
2,11,8,0.309,-1.195
2,11,9,-0.931,-0.928
2,11,10,-0.625,-0.815
2,11,11,-0.263,0.0
2,12,2,-0.67,-0.669
2,12,3,-0.465,-0.249
2,12,4,-0.459,-0.916
2,12,5,-0.166,-0.234
2,12,6,-0.583,-0.479
2,12,7,-0.449,-1.095
2,12,8,-0.563,-0.498
2,12,9,-0.768,-1.104
2,12,10,-0.418,-0.852
2,12,11,-0.498,-0.877
2,13,2,-0.708,-0.875
2,13,3,-0.485,-0.514
2,13,4,-0.586,-0.256
2,13,5,0.0,-0.65
2,13,6,-0.551,0.134
2,13,7,-0.433,-0.601
2,13,8,-0.618,-1.011
2,13,9,-0.493,-1.059
2,13,10,-0.623,-0.518
2,13,11,-0.642,0.319
2,14,2,-0.627,-0.965
2,14,3,-0.569,-0.626
2,14,4,-0.569,-0.141
2,14,5,-0.6,-0.712
2,14,6,-0.564,-0.455
2,14,7,-0.504,-0.405
2,14,8,-0.377,-0.608
2,14,9,-0.719,0.245
2,14,10,-0.591,-0.829
2,14,11,-0.84,-0.69
2,15,2,-0.702,0.149
2,15,3,-0.4,-0.494
2,15,4,-0.721,-0.504
2,15,5,-0.607,0.163
2,15,6,-0.558,-0.565
2,15,7,-0.619,-0.402
2,15,8,-0.698,-0.365
2,15,9,-0.725,-0.547
2,15,10,-0.491,-0.787
2,15,11,-0.177,-0.301
2,16,2,-0.559,-0.55
2,16,3,-0.715,-0.162
2,16,4,-0.648,0.337
2,16,5,-0.74,0.057
2,16,6,-0.495,-0.321
2,16,7,-0.592,0.484
2,16,8,-0.886,0.234
2,16,9,-0.737,-0.945
2,16,10,-0.597,-0.503
2,16,11,-0.928,0.0
2,17,2,-0.394,-0.332
2,17,3,-0.461,0.43
2,17,4,-0.732,0.288
2,17,5,-0.755,-0.138
2,17,6,-0.61,-0.065
2,17,7,-0.674,0.26
2,17,8,-0.476,0.174
2,17,9,-0.592,0.005
2,17,10,-0.607,-0.425
2,17,11,-0.803,0.226
2,18,2,-0.771,-0.457
2,18,3,-0.787,0.245
2,18,4,-0.602,-0.036
2,18,5,-0.752,-0.474
2,18,6,-0.797,-0.205
2,18,7,-0.798,0.153
2,18,8,-0.432,-0.034
2,18,9,-0.709,0.236
2,18,10,-0.616,0.087
2,18,11,-0.596,0.27
3,0,5,0.0,0.0
3,0,6,0.0,0.0
3,0,7,0.0,0.0
3,0,8,0.0,-0.697
3,0,9,0.0,-0.823
3,0,10,-0.197,-0.428
3,2,6,0.0,0.0
3,2,10,0.0,-0.707
3,3,5,0.0,-0.754
3,3,9,0.0,0.0
3,3,10,0.0,0.213
3,4,6,0.0,0.0
3,4,7,0.0,0.0
3,4,8,0.0,-0.725
3,4,10,0.454,0.0
3,5,7,0.0,0.107
3,5,8,0.0,0.0
3,5,9,0.0,-0.715
3,5,10,0.0,-0.916
3,6,4,0.0,0.0
3,6,9,0.0,0.0
3,6,10,0.16,-0.344
3,6,11,0.0,0.0
3,7,2,0.0,0.463
3,7,4,0.0,0.0
3,7,9,0.18,0.0
3,7,10,0.0,0.105
3,9,5,0.0,0.0
3,9,7,0.0,-0.761
3,9,10,0.0,-0.888
3,10,4,-0.231,0.0
3,10,5,0.0,-0.811
3,10,6,-0.837,-0.705
3,10,7,0.0,-0.952
3,10,9,0.0,-0.712
3,10,10,-0.26,-0.636
3,11,4,-0.876,-0.909
3,11,5,0.0,-0.917
3,11,6,-0.491,0.0
3,11,7,0.0,-0.615
3,11,10,-0.094,-0.805
3,12,3,-0.91,0.0
3,12,5,-0.376,-0.708
3,12,7,-0.461,0.0
3,12,8,0.0,-0.981
3,13,6,-0.645,0.0
3,13,9,0.0,0.372
3,13,10,-0.802,-0.047
3,13,11,-0.756,0.0
3,14,5,-0.875,0.0
3,14,6,0.0,0.662
3,14,7,-0.939,0.0
3,14,9,0.0,-0.236
3,14,10,0.337,0.0
3,15,2,0.0,0.289
3,15,4,0.0,-0.809
3,15,5,0.0,0.093
3,15,6,-0.797,0.0
3,15,7,-0.798,0.0
3,15,9,0.0,-0.966
3,15,10,-0.776,0.137
3,15,11,0.0,-0.731
3,16,4,-0.707,0.0
3,16,6,0.0,0.274
3,16,10,-0.801,0.0
3,17,3,-0.676,0.0
3,17,4,0.0,0.231
3,17,6,-0.723,0.0
3,17,9,-0.627,0.205
3,17,10,-0.781,0.0
4,0,6,0.0,-0.377
