policy,left_arm,right_arm,rewards
UCB,0.5,0.1,49.2
ThompsonSampling,0.5,0.1,47.4
Greedy,0.5,0.2,48.0
EpsilonGreedy,0.5,0.2,48.6
UCB,0.5,0.2,46.8
ThompsonSampling,0.5,0.2,48.8
Greedy,0.5,0.3,52.6
EpsilonGreedy,0.5,0.3,49.0
UCB,0.5,0.3,47.6
ThompsonSampling,0.5,0.3,48.0
Greedy,0.5,0.4,55.6
EpsilonGreedy,0.5,0.4,51.6
UCB,0.5,0.4,49.4
ThompsonSampling,0.5,0.4,48.6
Greedy,0.5,0.5,50.0
EpsilonGreedy,0.5,0.5,53.0
UCB,0.5,0.5,51.2
ThompsonSampling,0.5,0.5,50.6
Greedy,0.5,0.6,51.0
EpsilonGreedy,0.5,0.6,56.6
UCB,0.5,0.6,56.0
ThompsonSampling,0.5,0.6,57.0
Greedy,0.5,0.7,51.6
EpsilonGreedy,0.5,0.7,68.2
UCB,0.5,0.7,70.4
ThompsonSampling,0.5,0.7,67.2
Greedy,0.5,0.8,51.2
EpsilonGreedy,0.5,0.8,76.8
UCB,0.5,0.8,78.4
ThompsonSampling,0.5,0.8,79.2
Greedy,0.5,0.9,53.4
EpsilonGreedy,0.5,0.9,88.2
UCB,0.5,0.9,89.6
ThompsonSampling,0.5,0.9,85.6
Greedy,0.6,0.1,58.2
EpsilonGreedy,0.6,0.1,55.0
UCB,0.6,0.1,61.2
ThompsonSampling,0.6,0.1,58.8
Greedy,0.6,0.2,64.2
EpsilonGreedy,0.6,0.2,59.8
UCB,0.6,0.2,55.0
ThompsonSampling,0.6,0.2,59.8
Greedy,0.6,0.3,57.8
EpsilonGreedy,0.6,0.3,59.8
UCB,0.6,0.3,59.6
ThompsonSampling,0.6,0.3,56.4
Greedy,0.6,0.4,59.8
EpsilonGreedy,0.6,0.4,63.4
UCB,0.6,0.4,57.4
ThompsonSampling,0.6,0.4,60.4
Greedy,0.6,0.5,61.0
EpsilonGreedy,0.6,0.5,57.2
UCB,0.6,0.5,51.0
ThompsonSampling,0.6,0.5,56.8
Greedy,0.6,0.6,60.0
EpsilonGreedy,0.6,0.6,60.0
UCB,0.6,0.6,59.6
ThompsonSampling,0.6,0.6,60.4
Greedy,0.6,0.7,59.0
EpsilonGreedy,0.6,0.7,68.8
UCB,0.6,0.7,69.4
ThompsonSampling,0.6,0.7,70.4
Greedy,0.6,0.8,59.0
EpsilonGreedy,0.6,0.8,78.2
UCB,0.6,0.8,78.6
ThompsonSampling,0.6,0.8,73.2
Greedy,0.6,0.9,62.2
EpsilonGreedy,0.6,0.9,84.2
UCB,0.6,0.9,89.2
ThompsonSampling,0.6,0.9,88.2
Greedy,0.7,0.1,69.2
EpsilonGreedy,0.7,0.1,67.0
UCB,0.7,0.1,69.2
ThompsonSampling,0.7,0.1,68.6
Greedy,0.7,0.2,69.6
EpsilonGreedy,0.7,0.2,68.2
UCB,0.7,0.2,70.6
ThompsonSampling,0.7,0.2,66.0
Greedy,0.7,0.3,69.4
EpsilonGreedy,0.7,0.3,68.6
UCB,0.7,0.3,69.0
ThompsonSampling,0.7,0.3,70.0
Greedy,0.7,0.4,74.2
EpsilonGreedy,0.7,0.4,67.4
UCB,0.7,0.4,68.2
ThompsonSampling,0.7,0.4,68.4
Greedy,0.7,0.5,67.4
EpsilonGreedy,0.7,0.5,70.4
UCB,0.7,0.5,71.8
ThompsonSampling,0.7,0.5,69.8
Greedy,0.7,0.6,65.6
EpsilonGreedy,0.7,0.6,70.2
UCB,0.7,0.6,69.4
ThompsonSampling,0.7,0.6,66.0
Greedy,0.7,0.7,68.6
EpsilonGreedy,0.7,0.7,68.6
UCB,0.7,0.7,67.4
ThompsonSampling,0.7,0.7,73.2
Greedy,0.7,0.8,71.8
EpsilonGreedy,0.7,0.8,74.2
UCB,0.7,0.8,76.6
ThompsonSampling,0.7,0.8,75.4
Greedy,0.7,0.9,68.8
EpsilonGreedy,0.7,0.9,88.4
UCB,0.7,0.9,87.4
ThompsonSampling,0.7,0.9,85.2
Greedy,0.8,0.1,79.0
EpsilonGreedy,0.8,0.1,74.2
UCB,0.8,0.1,75.6
ThompsonSampling,0.8,0.1,78.6
Greedy,0.8,0.2,81.8
EpsilonGreedy,0.8,0.2,77.8
UCB,0.8,0.2,79.0
ThompsonSampling,0.8,0.2,79.8
Greedy,0.8,0.3,80.0
EpsilonGreedy,0.8,0.3,78.4
UCB,0.8,0.3,76.8
ThompsonSampling,0.8,0.3,80.8
Greedy,0.8,0.4,80.6
EpsilonGreedy,0.8,0.4,75.4
UCB,0.8,0.4,77.6
ThompsonSampling,0.8,0.4,73.8
Greedy,0.8,0.5,78.8
EpsilonGreedy,0.8,0.5,79.0
UCB,0.8,0.5,79.4
ThompsonSampling,0.8,0.5,81.2
Greedy,0.8,0.6,80.8
EpsilonGreedy,0.8,0.6,78.0
UCB,0.8,0.6,78.4
ThompsonSampling,0.8,0.6,78.8
Greedy,0.8,0.7,82.0
EpsilonGreedy,0.8,0.7,81.2
UCB,0.8,0.7,79.0
ThompsonSampling,0.8,0.7,78.2
Greedy,0.8,0.8,77.8
EpsilonGreedy,0.8,0.8,79.8
UCB,0.8,0.8,84.0
ThompsonSampling,0.8,0.8,80.2
Greedy,0.8,0.9,81.0
EpsilonGreedy,0.8,0.9,87.8
UCB,0.8,0.9,87.4
ThompsonSampling,0.8,0.9,88.4
Greedy,0.9,0.1,89.0
EpsilonGreedy,0.9,0.1,86.6
UCB,0.9,0.1,89.6
ThompsonSampling,0.9,0.1,85.6
Greedy,0.9,0.2,89.6
EpsilonGreedy,0.9,0.2,86.4
UCB,0.9,0.2,91.4
ThompsonSampling,0.9,0.2,90.2
Greedy,0.9,0.3,91.4
EpsilonGreedy,0.9,0.3,90.2
UCB,0.9,0.3,89.6
ThompsonSampling,0.9,0.3,89.6
Greedy,0.9,0.4,86.6
EpsilonGreedy,0.9,0.4,88.8
UCB,0.9,0.4,89.0
ThompsonSampling,0.9,0.4,83.4
Greedy,0.9,0.5,90.2
