Ace,Value,Dealer,Hit,Stay
0,4,2,-0.078,0.0
0,4,3,-0.01,-0.251
0,4,4,-0.105,-0.304
0,4,5,0.0,0.003
0,4,6,-0.14,-0.293
0,4,7,-0.228,-0.658
0,4,8,-0.154,-0.333
0,4,9,-0.32,-0.455
0,4,10,-0.207,-0.323
0,4,11,-0.206,-0.408
0,5,2,-0.088,-0.093
0,5,3,-0.047,-0.5
0,5,4,-0.126,-0.2
0,5,5,-0.056,-0.122
0,5,6,-0.109,-0.436
0,5,7,-0.124,-0.21
0,5,8,-0.158,-0.315
0,5,9,-0.321,-0.343
0,5,10,-0.211,-0.5
0,5,11,-0.233,-0.5
0,6,2,-0.041,-0.225
0,6,3,-0.131,-0.5
0,6,4,-0.305,-0.438
0,6,5,-0.136,-0.074
0,6,6,-0.344,-0.046
0,6,7,-0.119,-1.0
0,6,8,-0.186,-0.256
0,6,9,-1.0,-0.247
0,6,10,-0.214,-0.272
0,6,11,-0.252,-0.384
0,7,2,-0.16,-1.0
0,7,3,-0.149,-0.304
0,7,4,-1.0,-0.062
0,7,5,-0.04,-0.115
0,7,6,-0.058,-0.213
0,7,7,-0.088,-1.0
0,7,8,-0.164,-0.553
0,7,9,-0.387,-1.0
0,7,10,-0.204,-0.333
0,7,11,-0.283,-0.254
0,8,2,-0.206,-0.5
0,8,3,-0.033,-0.17
0,8,4,-0.085,-0.186
0,8,5,0.0,0.06
0,8,6,0.001,-0.524
0,8,7,-0.191,-1.0
0,8,8,-0.075,-0.5
0,8,9,-0.429,-0.5
0,8,10,-0.167,-0.199
0,8,11,-0.237,-1.0
0,9,2,-0.033,-1.0
0,9,3,-0.002,-0.675
0,9,4,-0.034,-0.322
0,9,5,0.031,-1.0
0,9,6,0.039,0.0
0,9,7,0.005,-1.0
0,9,8,-0.002,-1.0
0,9,9,-0.167,-0.452
0,9,10,-0.243,-0.5
0,9,11,-0.474,-0.234
0,10,2,0.083,-1.0
0,10,3,0.103,-0.122
0,10,4,0.031,0.003
