Ace,Value,Dealer,Hit,Stay
1,2,7,-0.222,-0.48
1,2,8,-0.09,-0.644
1,2,9,-0.403,-1.041
1,2,10,-0.259,-0.788
1,2,11,-0.193,-0.678
1,3,2,-0.203,-0.086
1,3,3,-0.081,-0.071
1,3,4,-0.101,-0.196
1,3,5,0.013,-0.28
1,3,6,-0.074,-0.459
1,3,7,-0.327,-0.815
1,3,8,-0.123,-0.52
1,3,9,-0.313,-0.58
1,3,10,-0.245,-0.923
1,3,11,-0.161,-0.166
1,4,2,0.012,-0.587
1,4,3,-0.148,-0.607
1,4,4,-0.072,-0.077
1,4,5,-0.129,-0.38
1,4,6,-0.297,-0.333
1,4,7,-0.186,-0.717
1,4,8,-0.022,-0.926
1,4,9,-0.496,-0.743
1,4,10,-0.257,-0.789
1,4,11,-0.155,-0.436
1,5,2,-0.168,-0.424
1,5,3,-0.166,-0.452
1,5,4,-0.318,-0.241
1,5,5,0.009,-0.619
1,5,6,-0.198,-0.408
1,5,7,-0.417,-0.695
1,5,8,-0.159,-0.462
1,5,9,-0.216,-0.852
1,5,10,-0.329,-0.766
1,5,11,-0.17,-0.633
1,6,2,-0.124,-0.35
1,6,3,-0.24,-0.398
1,6,4,-0.243,-0.318
1,6,5,-0.093,-0.071
1,6,6,-0.189,-0.453
1,6,7,-0.22,-0.659
1,6,8,-0.182,-0.781
1,6,9,-0.22,-0.502
1,6,10,-0.293,-0.614
1,6,11,-0.251,-0.607
1,7,2,-0.126,-0.063
1,7,3,-0.193,-0.008
1,7,4,-0.174,-0.275
1,7,5,-0.213,-0.296
1,7,6,-0.122,-0.386
1,7,7,-0.334,0.166
1,7,8,-0.138,-0.235
1,7,9,-0.208,-0.09
1,7,10,-0.289,-0.466
1,7,11,-0.305,-0.542
1,8,2,-0.095,0.023
1,8,3,-0.175,0.022
1,8,4,-0.288,-0.023
1,8,5,-0.081,-0.303
1,8,6,-0.206,-0.036
1,8,7,-0.14,0.279
1,8,8,-0.098,0.052
1,8,9,-0.282,-0.009
1,8,10,-0.259,-0.156
1,8,11,-0.323,0.445
1,9,2,-0.048,0.242
1,9,3,-0.294,0.34
1,9,4,-0.251,0.197
1,9,5,-0.127,0.346
1,9,6,-0.048,0.102
1,9,7,-0.171,0.27
1,9,8,-0.252,0.396
1,9,9,-0.546,0.509
1,9,10,-0.317,0.23
1,9,11,-0.091,0.052
1,11,2,-0.431,-0.369
1,11,3,-0.233,-0.803
1,11,4,-0.182,0.013
1,11,5,-0.236,-0.137
1,11,6,-0.347,0.15
1,11,7,-0.373,-0.849
1,11,8,-0.452,-0.655
1,11,9,-0.58,-0.722
1,11,10,-0.415,-0.839
1,11,11,-0.58,-0.958
1,12,2,-0.372,-0.64
1,12,3,-0.328,-0.4
1,12,4,-0.343,-0.194
1,12,5,-0.492,-0.278
